doc_id,kind,lang,baseline_cer,blur_2_5,blur_3_0,blur_3_5,blur_4_0,blur_4_5,blur_5_0,res_25,res_20,res_18,res_16,res_15,res_14,res_12,res_10
invoice_cs_01,invoice,cs,0.2442622950819672,0.3656,0.1033,0.3934,0.1328,0.3574,0.577,0.3525,0.3639,0.377,0.4016,0.4541,0.5951,0.7246,0.7557
invoice_cs_02,invoice,cs,0.0,0.0052,0.0104,0.0346,0.0761,0.6073,0.8391,0.0087,0.019,0.0986,0.5813,0.6453,0.7958,0.9844,0.9879
invoice_cs_03,invoice,cs,0.4469525959367946,0.0023,0.0045,0.0045,0.0609,0.0293,0.0361,0.0158,0.0384,0.0542,0.0316,0.0655,0.0632,0.2235,0.5102
invoice_cs_04,invoice,cs,0.10634328358208955,0.0,0.0019,0.5112,0.1175,0.2407,0.5597,0.0037,-0.0224,0.0243,0.5168,0.5187,0.5112,0.8078,0.8937
invoice_cs_05,invoice,cs,0.13033175355450238,0.0,0.1232,0.1422,0.1469,0.1517,0.2654,0.1232,-0.1256,-0.1161,-0.0735,0.3033,0.1517,0.6469,0.8199
invoice_cs_06,invoice,cs,0.23214285714285715,0.0321,0.0268,0.3911,0.4429,0.7554,0.7536,0.0089,0.3786,0.4821,0.6393,0.675,0.7554,0.7554,0.7679
invoice_en_01,invoice,en,0.0015455950540958269,-0.0015,-0.0015,-0.0015,0.0,0.0046,0.2133,-0.0015,0.0031,0.0015,0.0031,0.0263,0.0541,0.3663,0.9505
invoice_en_02,invoice,en,0.05628517823639775,0.0,0.0,0.0,0.0,-0.0563,0.0056,0.0,0.0,0.0338,0.0056,-0.0525,0.0188,0.5797,0.9062
invoice_en_03,invoice,en,0.0,0.0,0.0,0.0151,0.4639,0.8269,0.9815,0.0,0.0185,0.0336,0.4941,0.8706,0.9378,0.9882,1.0
invoice_en_04,invoice,en,0.0,0.0,0.0709,0.1496,0.4921,0.4685,0.7008,0.0,0.1476,0.189,0.0689,0.3327,0.6378,0.9547,0.9724
invoice_en_05,invoice,en,0.10434782608695652,-0.1043,-0.1043,-0.1026,-0.1009,-0.073,0.1357,-0.1043,-0.1026,-0.1026,-0.0522,0.0209,0.1374,0.8191,0.8957
invoice_en_06,invoice,en,0.13908450704225353,0.0563,0.0581,0.1268,0.5845,0.7975,0.8363,0.0563,0.4049,0.2535,0.6937,0.7377,0.8169,0.8363,0.8609
invoice_en_07,invoice,en,0.0,0.0,0.0,0.0093,0.3907,0.9039,0.9798,0.0248,0.0031,0.1581,0.5612,0.9008,0.9256,0.9891,1.0
invoice_en_08,invoice,en,0.0,0.0,0.0,0.0017,0.0495,0.0941,0.1914,0.033,0.0,0.132,0.0083,0.0215,0.0842,0.7145,0.9785
invoice_en_09,invoice,en,0.0021551724137931034,0.0625,0.1272,0.0,0.0022,0.3858,0.569,0.0625,0.0,0.0625,0.3922,0.0754,0.4246,0.9052,0.9978
mixed_cs_01,mixed,cs,0.0034662045060658577,-0.0035,0.0,0.0121,0.0173,0.0295,0.0884,0.0017,0.0035,0.0139,0.0243,0.0451,0.1057,0.5321,0.9775
mixed_cs_02,mixed,cs,0.2418831168831169,0.0,0.0,0.0,0.0211,0.112,0.6494,0.0,-0.0016,0.013,0.0406,0.0779,0.5601,0.7338,0.7581
mixed_cs_03,mixed,cs,0.0,0.0011,0.0046,0.0092,0.0356,0.2859,0.8806,0.0023,0.0126,0.0253,0.1137,0.2388,0.5327,0.9713,0.9989
mixed_cs_04,mixed,cs,0.14838709677419354,0.0052,0.0194,0.1213,0.7071,0.8155,0.8516,0.0065,0.1471,0.2387,0.6723,0.7948,0.8516,0.8516,0.8516
mixed_cs_05,mixed,cs,0.0,0.0045,0.0239,0.1016,0.5755,0.9297,1.0,0.009,0.1256,0.2616,0.849,1.0,0.9791,1.0,1.0
mixed_cs_06,mixed,cs,0.0,0.0058,0.023,0.5668,0.8825,0.9643,0.9827,0.2949,0.1048,0.5714,0.6912,0.9608,0.9942,1.0,1.0
mixed_en_01,mixed,en,0.02130492676431425,-0.02,0.0386,0.8242,0.9374,0.9494,0.9787,-0.0173,0.3795,0.5925,0.9387,0.9481,0.9774,0.9787,0.9787
mixed_en_02,mixed,en,0.0,0.0015,0.0015,0.0015,0.0543,0.1232,0.3974,0.0762,0.0513,0.0015,0.0029,0.0191,0.0645,0.5997,0.9648
mixed_en_03,mixed,en,0.1864864864864865,0.0,0.0054,0.1689,0.6541,0.7757,0.7784,-0.0014,0.0027,0.0176,0.4338,0.7797,0.777,0.8135,0.8135
mixed_en_04,mixed,en,0.0,0.0015,0.003,0.0106,0.0348,0.7897,0.9365,0.003,0.0106,0.2254,0.4402,0.6142,0.9546,1.0,1.0
mixed_en_05,mixed,en,0.1893424036281179,-0.0136,-0.0238,0.6315,0.7846,0.7914,0.805,-0.0147,0.0045,0.1644,0.7846,0.788,0.8107,0.8107,0.8107
mixed_en_06,mixed,en,0.0,0.0,0.0,0.0016,0.294,0.8901,0.9402,0.2359,0.0016,0.0275,0.252,0.4572,0.6187,0.9677,1.0
mixed_en_07,mixed,en,0.0,0.0,0.0,0.0,0.0037,0.0636,0.6471,0.2007,0.0399,0.0012,0.005,0.02,0.2444,0.7768,1.0
