doc_id,condition,dimension,kind,lang,blur_radius_px,rel_scale,out_w,out_h,short_side_px,long_side_px,total_px,sharpness_varlap,sharpness_ratio,cer,wer,delta_cer,content_precision,content_recall,content_f1,empty_failure,silent_failure,doc_failure,exact,near_exact,gt_chars,ocr_chars
invoice_cs_01,baseline,baseline,invoice,cs,0.0,1.0,1700,2200,1700,2200,3740000,1256.9894,1.0,0.2443,0.2759,0.0,1.0,1.0,1.0,0,0,0,0,0,616,610
invoice_cs_02,baseline,baseline,invoice,cs,0.0,1.0,1500,2000,1500,2000,3000000,1312.7622,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,1,584,578
invoice_cs_03,baseline,baseline,invoice,cs,0.0,1.0,1900,2500,1900,2500,4750000,959.1264,1.0,0.447,0.4839,0.0,1.0,1.0,1.0,0,1,1,0,0,449,443
invoice_cs_04,baseline,baseline,invoice,cs,0.0,1.0,1600,2350,1600,2350,3760000,1351.3819,1.0,0.1063,0.0779,0.0,1.0,1.0,1.0,0,0,0,0,0,542,536
invoice_cs_05,baseline,baseline,invoice,cs,0.0,1.0,1700,2200,1700,2200,3740000,1014.1807,1.0,0.1303,0.1613,0.0,1.0,1.0,1.0,0,0,0,0,0,428,422
invoice_cs_06,baseline,baseline,invoice,cs,0.0,1.0,1500,2000,1500,2000,3000000,1176.2779,1.0,0.2321,0.2716,0.0,1.0,1.0,1.0,0,0,0,0,0,566,560
invoice_en_01,baseline,baseline,invoice,en,0.0,1.0,1600,2350,1600,2350,3760000,1543.6069,1.0,0.0015,0.0102,0.0,0.9898,0.9898,0.9898,0,0,0,0,1,653,646
invoice_en_02,baseline,baseline,invoice,en,0.0,1.0,1700,2200,1700,2200,3740000,1606.3192,1.0,0.0563,0.0494,0.0,1.0,1.0,1.0,0,0,0,0,0,539,533
invoice_en_03,baseline,baseline,invoice,en,0.0,1.0,1500,2000,1500,2000,3000000,1502.3437,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,1,601,595
invoice_en_04,baseline,baseline,invoice,en,0.0,1.0,1900,2500,1900,2500,4750000,831.6933,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,1,514,508
invoice_en_05,baseline,baseline,invoice,en,0.0,1.0,1600,2350,1600,2350,3760000,1240.5098,1.0,0.1043,0.1136,0.0,1.0,1.0,1.0,0,0,0,0,0,581,575
invoice_en_06,baseline,baseline,invoice,en,0.0,1.0,1700,2200,1700,2200,3740000,1384.9286,1.0,0.1391,0.1609,0.0,1.0,1.0,1.0,0,0,0,0,0,574,568
invoice_en_07,baseline,baseline,invoice,en,0.0,1.0,1500,2000,1500,2000,3000000,1622.4123,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,1,651,645
invoice_en_08,baseline,baseline,invoice,en,0.0,1.0,1900,2500,1900,2500,4750000,1126.6779,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,1,612,606
invoice_en_09,baseline,baseline,invoice,en,0.0,1.0,1600,2350,1600,2350,3760000,1017.8352,1.0,0.0022,0.0141,0.0,0.9859,0.9859,0.9859,0,0,0,0,1,470,463
mixed_cs_01,baseline,baseline,mixed,cs,0.0,1.0,1600,2350,1600,2350,3760000,1410.5914,1.0,0.0035,0.0238,0.0,0.9762,0.9762,0.9762,0,0,0,0,1,577,577
mixed_cs_02,baseline,baseline,mixed,cs,0.0,1.0,1700,2200,1700,2200,3740000,1659.2029,1.0,0.2419,0.2128,0.0,1.0,1.0,1.0,0,0,0,0,0,616,616
mixed_cs_03,baseline,baseline,mixed,cs,0.0,1.0,1500,2000,1500,2000,3000000,2517.0494,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,1,871,871
mixed_cs_04,baseline,baseline,mixed,cs,0.0,1.0,1900,2500,1900,2500,4750000,1182.1089,1.0,0.1484,0.1597,0.0,1.0,1.0,1.0,0,0,0,0,0,775,775
